id,filtered_words,features,label_index
R129,"['wall', 'require', 'old', 'let', 'surface.', 'experts', 'discuss', 'ongoing', 'developments', 'election.']","(10000,[3556,3614,4506,4687,5417,6404,7083,8267,8449,9462],[2.8844015909096608,0.6832166123573445,0.691153161953081,0.6871770135734415,5.117993812416755,3.8187108282864943,3.8187108282864943,3.914021008090819,4.019381523748645,0.691153161953081])",1.0
R227,"['late', 'already', 'place', 'offer', 'it.', 'majority', 'dog', 'manager', 'particularly.', 'first', 'turn', 'woman', 'large.', 'experts', 'discuss', 'ongoing', 'developments', 'climate', 'change.']","(10000,[594,821,1652,2059,2958,3079,3614,3713,3886,4506,4563,4687,6390,6403,7805,9168,9244,9462,9564],[4.270695952029551,2.849310271098391,3.8187108282864943,2.60568818844064,4.270695952029551,4.019381523748645,0.6832166123573445,4.830311739964974,4.137164559405029,0.691153161953081,4.019381523748645,0.6871770135734415,4.270695952029551,3.8187108282864943,5.523458920524919,5.523458920524919,4.270695952029551,0.691153161953081,4.607168188650764])",1.0
F231,"['indicate', 'field', 'contain', 'throw', 'foot', 'would.', 'film', 'campaign', 'chair', 'future', 'cut', 'car', 'fly.', '—', 'shocking', 'claims', 'aliens', 'surface', 'internet.']","(10000,[503,650,681,1206,1410,3674,5003,5850,6485,6488,6675,7074,7230,7281,7493,7890,7936,8325,8338],[0.691153161953081,2.958509563063383,4.607168188650764,4.42484663185681,4.607168188650764,4.270695952029551,4.607168188650764,0.691153161953081,4.019381523748645,4.607168188650764,5.523458920524919,3.577548771469606,5.117993812416755,0.6753425559264385,4.42484663185681,4.270695952029551,0.691153161953081,3.8187108282864943,0.691153161953081])",0.0
R066,"['lot', 'authority', 'fact', 'hard', 'staff', 'congress.', 'least', 'way', 'base', 'now.', 'husband', 'power.', 'experts', 'discuss', 'ongoing', 'developments', 'policy.']","(10000,[1029,1176,1634,2513,3614,3802,4506,4687,4943,5125,6224,6944,7208,7215,8173,9391,9462],[4.019381523748645,3.8187108282864943,4.607168188650764,5.523458920524919,0.6832166123573445,5.523458920524919,0.691153161953081,0.6871770135734415,4.137164559405029,4.019381523748645,3.577548771469606,2.8154087194227095,4.607168188650764,4.019381523748645,3.6516567436233283,3.6516567436233283,0.691153161953081])",1.0
F095,"['fast', 'happy', 'realize', 'money', 'rock', 'piece', 'third.', 'bag', 'follow', 'mind', 'member', 'success', 'enjoy.', '—', 'shocking', 'claims', 'mind', 'control', 'surface', 'internet.']","(10000,[415,503,574,1208,1582,3133,3184,5347,5850,6103,6790,6847,7281,7936,8151,8338,9263,9367,9828],[4.019381523748645,0.691153161953081,3.8187108282864943,2.7826188965997183,4.270695952029551,4.607168188650764,5.630817438845419,4.270695952029551,0.691153161953081,4.607168188650764,4.607168188650764,5.523458920524919,0.6753425559264385,0.691153161953081,4.137164559405029,0.691153161953081,3.914021008090819,4.137164559405029,4.830311739964974])",0.0
R174,"['cover', 'doctor.', 'occur', 'take', 'edge.', 'service', 'lay', 'worker', 'build.', 'experts', 'discuss', 'ongoing', 'developments', 'policy.']","(10000,[855,1921,2252,2676,3614,4475,4506,4687,5598,6104,6944,7229,8859,9462],[3.8187108282864943,5.523458920524919,3.914021008090819,4.830311739964974,0.6832166123573445,4.42484663185681,0.691153161953081,0.6871770135734415,4.607168188650764,4.42484663185681,2.8154087194227095,5.117993812416755,4.607168188650764,0.691153161953081])",1.0
R201,"['real', 'everyone', 'term', 'relate', 'actually.', 'experts', 'discuss', 'ongoing', 'developments', 'public', 'health.']","(10000,[988,1770,2188,3614,3888,4506,4687,6219,8893,9462,9691],[4.019381523748645,3.0385522707369192,4.830311739964974,0.6832166123573445,4.607168188650764,0.691153161953081,0.6871770135734415,3.0811118851557153,4.270695952029551,0.691153161953081,4.019381523748645])",1.0
R072,"['church', 'candidate', 'dinner', 'south.', 'simply', 'minute', 'idea.', 'experts', 'discuss', 'ongoing', 'developments', 'education.']","(10000,[1273,1375,1642,2240,3357,3614,4358,4506,4640,4687,5047,9462],[4.137164559405029,5.117993812416755,4.019381523748645,3.8187108282864943,4.137164559405029,0.6832166123573445,4.270695952029551,0.691153161953081,4.42484663185681,0.6871770135734415,2.6902455764687034,0.691153161953081])",1.0
R064,"['north', 'goal', 'evening', 'yeah', 'tell', 'responsibility.', 'especially', 'across', 'treatment', 'important', 'attack', 'represent', 'return.', 'dog', 'tax', 'cultural', 'scene', 'agent', 'model', 'hit', 'spend.', 'experts', 'discuss', 'ongoing', 'developments', 'research.']","(10000,[1778,1850,1967,2523,3249,3614,4506,4516,4687,5016,5089,5286,5693,5844,6587,7066,7074,7102,8015,8173,8252,8684,8717,9233,9462,9564],[4.830311739964974,4.019381523748645,4.42484663185681,5.523458920524919,3.6516567436233283,0.6832166123573445,0.691153161953081,4.830311739964974,0.6871770135734415,4.830311739964974,4.42484663185681,4.607168188650764,4.270695952029551,5.117993812416755,4.270695952029551,2.849310271098391,3.577548771469606,4.270695952029551,4.42484663185681,3.6516567436233283,3.8187108282864943,5.523458920524919,3.6516567436233283,4.137164559405029,0.691153161953081,4.607168188650764])",1.0
F037,"['grow', 'door', 'involve', 'across', 'outside.', 'kid', 'pay', 'ten', 'kid.', 'provide', 'institution', 'maybe', 'social', 'even', 'yeah', 'act.', '—', 'shocking', 'claims', 'miracle', 'drug', 'surface', 'internet.']","(10000,[503,823,856,1256,2141,2404,3243,3249,3723,4818,4847,4897,5085,5850,5946,6271,6406,7074,7281,7860,7936,7954,8338],[0.691153161953081,3.8187108282864943,5.523458920524919,3.125563647726549,5.117993812416755,4.137164559405029,4.270695952029551,3.6516567436233283,4.137164559405029,4.137164559405029,3.914021008090819,4.607168188650764,3.7316994512968646,0.691153161953081,3.8187108282864943,3.8187108282864943,4.137164559405029,3.577548771469606,0.6753425559264385,2.8154087194227095,0.691153161953081,5.523458920524919,0.691153161953081])",0.0
R170,"['morning', 'meeting', 'choice', 'system', 'ahead', 'begin.', 'tv', 'anything', 'carry', 'rock.', 'structure', 'image', 'east', 'ahead', 'mind', 'left', 'hard', 'wall.', 'experts', 'discuss', 'ongoing', 'developments', 'technology', 'breakthrough.']","(10000,[20,454,1020,1662,2114,2227,2996,3072,3160,3184,3614,3996,4506,4547,4687,5125,5303,6053,6576,7274,8268,9296,9462],[4.019381523748645,3.5085558999826545,2.6330871626287546,3.914021008090819,3.8187108282864943,2.7200985396183848,3.7316994512968646,5.117993812416755,4.830311739964974,2.8154087194227095,0.6832166123573445,4.270695952029551,0.691153161953081,4.830311739964974,0.6871770135734415,4.019381523748645,4.270695952029551,3.383392757028649,4.270695952029551,5.117993812416755,7.3033134872466565,4.270695952029551,0.691153161953081])",1.0
F110,"['sort', 'third', 'direction', 'particularly', 'senior.', 'world', 'three', 'less', 'good', 'head.', '—', 'shocking', 'claims', 'celebrity', 'scandal', 'surface', 'internet.']","(10000,[503,1195,3486,3593,4921,5720,5850,5925,6168,6443,7281,7936,8338,8438,8554,8771,9360],[0.691153161953081,4.42484663185681,2.849310271098391,4.830311739964974,2.849310271098391,4.830311739964974,0.691153161953081,4.137164559405029,4.830311739964974,3.8187108282864943,0.6753425559264385,0.691153161953081,0.691153161953081,5.117993812416755,3.914021008090819,4.830311739964974,4.137164559405029])",0.0
F048,"['enough', 'serve', 'sell', 'might', 'sport.', '—', 'shocking', 'claims', 'secret', 'cure', 'surface', 'internet.']","(10000,[503,1725,2111,3892,3924,4485,4748,5850,6747,7281,7936,8338],[0.691153161953081,4.019381523748645,5.523458920524919,2.5530444549552183,4.137164559405029,3.914021008090819,3.914021008090819,0.691153161953081,2.5530444549552183,0.6753425559264385,0.691153161953081,0.691153161953081])",0.0
F082,"['much', 'loss', 'evidence', 'specific', 'behavior.', 'believe', 'century', 'despite', 'similar', 'program.', 'deal', 'miss', 'necessary.', '—', 'shocking', 'claims', 'hoax', 'surface', 'internet.']","(10000,[503,524,533,1071,1107,1301,1433,2054,2059,4377,5329,5850,6988,7025,7046,7281,7841,7936,8338],[0.691153161953081,3.383392757028649,3.914021008090819,4.42484663185681,4.42484663185681,4.270695952029551,4.42484663185681,3.577548771469606,2.60568818844064,2.60568818844064,3.8187108282864943,0.691153161953081,5.523458920524919,4.42484663185681,4.830311739964974,0.6753425559264385,4.42484663185681,0.691153161953081,0.691153161953081])",0.0
F187,"['marriage', 'factor', 'sure', 'through.', 'mr', 'away', 'learn', 'true', 'method', 'five.', 'author', 'change', 'glass', 'beautiful.', '—', 'shocking', 'claims', 'miracle', 'drug', 'surface', 'internet.']","(10000,[387,503,781,870,1256,1776,1821,2647,3737,5850,5967,6015,6229,6932,7188,7281,7860,7936,8338,9350,9561],[4.42484663185681,0.691153161953081,5.523458920524919,5.117993812416755,3.125563647726549,4.607168188650764,4.137164559405029,4.270695952029551,4.270695952029551,0.691153161953081,3.7316994512968646,4.270695952029551,3.914021008090819,3.7316994512968646,4.137164559405029,0.6753425559264385,2.8154087194227095,0.691153161953081,0.691153161953081,4.42484663185681,4.270695952029551])",0.0
