id,title,filtered_words,label
R129,New Report on Election,"['wall', 'require', 'old', 'let', 'surface.', 'experts', 'discuss', 'ongoing', 'developments', 'election.']",REAL
R227,New Report on Climate Change,"['late', 'already', 'place', 'offer', 'it.', 'majority', 'dog', 'manager', 'particularly.', 'first', 'turn', 'woman', 'large.', 'experts', 'discuss', 'ongoing', 'developments', 'climate', 'change.']",REAL
F231,Aliens Confirmed by Sources,"['indicate', 'field', 'contain', 'throw', 'foot', 'would.', 'film', 'campaign', 'chair', 'future', 'cut', 'car', 'fly.', '—', 'shocking', 'claims', 'aliens', 'surface', 'internet.']",FAKE
R066,New Report on Policy,"['lot', 'authority', 'fact', 'hard', 'staff', 'congress.', 'least', 'way', 'base', 'now.', 'husband', 'power.', 'experts', 'discuss', 'ongoing', 'developments', 'policy.']",REAL
F095,Mind Control Confirmed by Sources,"['fast', 'happy', 'realize', 'money', 'rock', 'piece', 'third.', 'bag', 'follow', 'mind', 'member', 'success', 'enjoy.', '—', 'shocking', 'claims', 'mind', 'control', 'surface', 'internet.']",FAKE
R174,New Report on Policy,"['cover', 'doctor.', 'occur', 'take', 'edge.', 'service', 'lay', 'worker', 'build.', 'experts', 'discuss', 'ongoing', 'developments', 'policy.']",REAL
R201,New Report on Public Health,"['real', 'everyone', 'term', 'relate', 'actually.', 'experts', 'discuss', 'ongoing', 'developments', 'public', 'health.']",REAL
R072,New Report on Education,"['church', 'candidate', 'dinner', 'south.', 'simply', 'minute', 'idea.', 'experts', 'discuss', 'ongoing', 'developments', 'education.']",REAL
R064,New Report on Research,"['north', 'goal', 'evening', 'yeah', 'tell', 'responsibility.', 'especially', 'across', 'treatment', 'important', 'attack', 'represent', 'return.', 'dog', 'tax', 'cultural', 'scene', 'agent', 'model', 'hit', 'spend.', 'experts', 'discuss', 'ongoing', 'developments', 'research.']",REAL
F037,Miracle Drug Confirmed by Sources,"['grow', 'door', 'involve', 'across', 'outside.', 'kid', 'pay', 'ten', 'kid.', 'provide', 'institution', 'maybe', 'social', 'even', 'yeah', 'act.', '—', 'shocking', 'claims', 'miracle', 'drug', 'surface', 'internet.']",FAKE
