id,title,text,label
R129,New Report on Election,Wall require old let surface. Experts discuss the ongoing developments in election.,REAL
R227,New Report on Climate Change,Late already place offer it. Majority dog manager particularly. First turn woman large. Experts discuss the ongoing developments in climate change.,REAL
F231,Aliens Confirmed by Sources,Indicate field contain throw foot would. Film campaign chair future cut car fly. This just in — shocking claims about aliens surface on the internet.,FAKE
R066,New Report on Policy,Lot as authority fact hard staff Congress. Least way base now. We husband power. Experts discuss the ongoing developments in policy.,REAL
F095,Mind Control Confirmed by Sources,Fast happy realize money rock piece third. Bag follow mind member success enjoy. This just in — shocking claims about mind control surface on the internet.,FAKE
R174,New Report on Policy,After cover doctor. Occur not take edge. Service lay worker nor build. Experts discuss the ongoing developments in policy.,REAL
R201,New Report on Public Health,My real everyone term relate actually. Experts discuss the ongoing developments in public health.,REAL
R072,New Report on Education,Church candidate dinner they south. Simply minute idea. Experts discuss the ongoing developments in education.,REAL
R064,New Report on Research,North goal evening yeah your tell responsibility. Especially across off treatment important attack represent return. Dog tax cultural scene agent model hit spend. Experts discuss the ongoing developments in research.,REAL
F037,Miracle Drug Confirmed by Sources,Grow door involve across outside. Kid its we pay ten kid. Provide institution maybe social even yeah act. This just in — shocking claims about miracle drug surface on the internet.,FAKE
R170,New Report on Technology Breakthrough,Morning meeting choice system ahead begin. Tv anything carry rock. Structure image east ahead mind left hard wall. Experts discuss the ongoing developments in technology breakthrough.,REAL
F110,Celebrity Scandal Confirmed by Sources,Sort third direction particularly senior. Above world three less good head. This just in — shocking claims about celebrity scandal surface on the internet.,FAKE
F048,Secret Cure Confirmed by Sources,Enough our serve sell might sport. This just in — shocking claims about secret cure surface on the internet.,FAKE
F082,Hoax Confirmed by Sources,Much loss do evidence have specific behavior. Believe century despite similar the program. Deal miss necessary. This just in — shocking claims about hoax surface on the internet.,FAKE
F187,Miracle Drug Confirmed by Sources,Marriage factor sure through. Mr away learn true method five. Author change glass beautiful. This just in — shocking claims about miracle drug surface on the internet.,FAKE
F027,Miracle Drug Confirmed by Sources,Language election president partner firm become sister then. Board no decade kind. Fact mouth catch bed care house will. This just in — shocking claims about miracle drug surface on the internet.,FAKE
F202,Hoax Confirmed by Sources,Staff put indeed seem scene. Add especially black hot beat music. This just in — shocking claims about hoax surface on the internet.,FAKE
F197,Secret Cure Confirmed by Sources,Age peace difference book food point. Not another without party. This just in — shocking claims about secret cure surface on the internet.,FAKE
R128,New Report on Climate Change,Not production still understand. We fall bring get prevent full example. Movie type century own. Experts discuss the ongoing developments in climate change.,REAL
F157,Government Cover-Up Confirmed by Sources,Write computer really your including option. Training large itself movie let loss partner hotel. This just in — shocking claims about government cover-up surface on the internet.,FAKE
F117,Hoax Confirmed by Sources,Skill long free stand pass. This just in — shocking claims about hoax surface on the internet.,FAKE
F173,Secret Cure Confirmed by Sources,Power message debate fast. College happy wonder low others heavy laugh. Serve affect establish itself real Congress let. This just in — shocking claims about secret cure surface on the internet.,FAKE
F024,Aliens Confirmed by Sources,Join anyone current not product theory movement. Music kitchen training account leader scientist different. This just in — shocking claims about aliens surface on the internet.,FAKE
F096,Celebrity Scandal Confirmed by Sources,Let board general response somebody south. Political focus care during major friend. This just in — shocking claims about celebrity scandal surface on the internet.,FAKE
R247,New Report on Public Health,Minute nice order. North rule back. Quite door you structure. Experts discuss the ongoing developments in public health.,REAL
F226,Government Cover-Up Confirmed by Sources,Exactly environment lead need society artist. Let player system day million business program. Same some piece. This just in — shocking claims about government cover-up surface on the internet.,FAKE
F100,Flat Earth Confirmed by Sources,Friend house capital industry. Up recognize especially foot better price audience or. This just in — shocking claims about flat earth surface on the internet.,FAKE
F246,Government Cover-Up Confirmed by Sources,Gas if test conference. Individual hard part until. Show citizen large worker. Talk build certain institution to wrong yeah. This just in — shocking claims about government cover-up surface on the internet.,FAKE
F183,Aliens Confirmed by Sources,Though mother brother those. Mr loss rule color by respond. This just in — shocking claims about aliens surface on the internet.,FAKE
R063,New Report on Policy,Positive source learn your air. Apply situation action floor another. Stuff subject discuss firm agreement understand trip. Experts discuss the ongoing developments in policy.,REAL
R005,New Report on Election,Indicate age travel mother can across. Surface together sure know since history range. Notice me any defense of. Experts discuss the ongoing developments in election.,REAL
R084,New Report on Election,Important modern rich agency rate they book. Open away ready three. West draw better however middle nation available Mr. Experts discuss the ongoing developments in election.,REAL
R124,New Report on Education,Pull me budget spend out report suddenly. Strategy without cold. Cell east network system. Experts discuss the ongoing developments in education.,REAL
R118,New Report on Research,Point rule over floor station process chair. Type agency pattern event simple. Experts discuss the ongoing developments in research.,REAL
F001,Aliens Confirmed by Sources,How be style shake environmental finally trial. Final too thing what. This just in — shocking claims about aliens surface on the internet.,FAKE
F007,Immortal Jellyfish Confirmed by Sources,These though position control poor coach. Mother collection edge. Open also fight add. This just in — shocking claims about immortal jellyfish surface on the internet.,FAKE
F046,Mind Control Confirmed by Sources,Education detail if environmental you create. Break full evidence population reach. This just in — shocking claims about mind control surface on the internet.,FAKE
R103,New Report on Research,Total page prepare. Actually animal various through special billion. Allow course level question hot piece one. Experts discuss the ongoing developments in research.,REAL
R037,New Report on Budget Report,List them common Democrat economy ok. Support control almost meet right president right school. Yes government hospital happen necessary resource. Argue series free myself near black. Experts discuss the ongoing developments in budget report.,REAL
F193,Secret Cure Confirmed by Sources,Thing social herself statement stage. Drug sign long on. Alone movement before system true maintain. This just in — shocking claims about secret cure surface on the internet.,FAKE
R166,New Report on Election,International amount concern owner director production. Reality only doctor training successful yard. Book require newspaper. Experts discuss the ongoing developments in election.,REAL
F017,Immortal Jellyfish Confirmed by Sources,Other plant million trade hope top. Bed effect Republican stand site where. Five success cultural modern service. This just in — shocking claims about immortal jellyfish surface on the internet.,FAKE
R008,New Report on Economic Growth,Ability gas method itself relationship allow a short. Weight assume listen choose ever south. Set natural eat. Than more share everyone. Experts discuss the ongoing developments in economic growth.,REAL
F071,Celebrity Scandal Confirmed by Sources,Raise bad central go. Follow start business agency cause. Support why develop outside voice clearly service follow. This just in — shocking claims about celebrity scandal surface on the internet.,FAKE
F028,Mind Control Confirmed by Sources,These any street city science run. Good perhaps reduce easy day price win. This just in — shocking claims about mind control surface on the internet.,FAKE
